game_id,home,away,timestamp,winner,loser
b14b68d1-a6e0-4d5b-a0b0-ec598db627a2,Phenoms,Saints,05-16-24,Phenoms,Saints
54dd331e-65a7-4517-983d-16365fb7fa5b,Junubin,Advance,05-16-24,Junubin,Advance
068989eb-4308-4805-8f9f-325495aebb90,Twende,Kwetu,05-18-24,Twende,Kwetu
27df46c5-6125-4ad6-83d4-069158c9fb56,Vikapu,Leos,05-16-24,Vikapu,Leos
9b23030c-e330-4126-935f-666eb5a3c782,DB Nets,Rangers,05-16-24,Rangers,DB Nets
0bf84c4b-0070-42ee-88fc-2c19e5eb20c2,E Nets,MooreWright,05-16-24,E Nets,MooreWright
bf3293df-83dd-49d5-ad84-3cd927bedc22,Bantu,Pride Landers,05-18-24,Pride Landers,Bantu
741f8905-b5b5-4598-8f6c-cff6ec72f212,Saints,Buruburu,05-19-24,Saints,Buruburu
9b481d0b-1ed8-4461-9f77-8684c233145a,Kibra,savio,05-16-24,Kibra,savio
e6f0c097-2951-4929-9f49-48e59bd7bde8,Advance,Jericho Nets,05-19-24,Jericho Nets,Advance
eb0edccd-06c9-43a3-9924-838788e514be,Phenoms,Huruma Dragons,05-19-24,Phenoms,Huruma Dragons
531e819f-7100-460c-8ff5-351dba343d04,Teffad,Fam Kenya,05-19-24,Teffad,Fam Kenya
bce79013-c0fe-4721-bde9-004b35a9fda8,Buruburu,Jericho Nets,06-02-24,Buruburu,Jericho Nets
d5569d3f-e8a8-44a0-9c0c-52284c89da76,savio,Twende,05-19-24,Twende,savio
9f925b6c-226c-4efc-8bf5-bc56797353fd,Vikapu,DB Nets,05-19-24,Vikapu,DB Nets
a13e5c4f-6e94-434e-9974-d1bf6ff4752f,Huruma Dragons,Feba Nation,05-16-24,Feba Nation,Huruma Dragons
f7328d99-c875-4a9f-9650-7e7691bb36a7,Rangers,Twende,06-15-24,Twende,Rangers
10f7b139-6987-4f56-b2d9-48cdb9de3ada,Fam Kenya,DeeMentor,06-16-24,Fam Kenya,DeeMentor
428d1fe2-94bd-46da-b931-7158700634f7,Advance,DeeMentor,06-29-24,DeeMentor,Advance
d9964415-76b3-4011-add7-3c47cca55612,MooreWright,Kwetu,06-29-24,MooreWright,Kwetu
ddf518a9-e70d-453e-8bff-8819a03db052,Kwetu,Kibra,06-30-24,Kibra,Kwetu
e0b21e60-190c-4c2c-8b2d-fb9e055e0144,Advance,Huruma Dragons,07-13-24,Huruma Dragons,Advance
ab444084-9ec4-4381-8559-ee2ff48f1f2f,MooreWright,Bantu,08-03-24,Bantu,MooreWright
2aa60dd7-309c-4d0a-9f1d-50803ad1c4ee,Bantu,Pride Landers,07-04-24,Bantu,Pride Landers
5a200017-4d3c-4ee9-abdc-a0a319cbb307,Bantu,Kibra,07-14-24,Kibra,Bantu
5dcc25c8-b570-4ded-aa0c-d80505105ccd,MooreWright,Rangers,07-14-24,MooreWright,Rangers
0703d3bb-243a-4e94-88b6-7d7db8dbd83f,Kwetu,DB Nets,07-14-24,Kwetu,DB Nets
ac57cafa-7282-4738-b244-97b22bc4b574,Vikapu,Bantu,07-20-24,Vikapu,Bantu
5e16cca6-4a9a-42c8-8498-e73c6f3f38c9,Buruburu,Junubin,07-21-24,Buruburu,Junubin
fc8b644d-5efb-48c4-aada-8ca901ad4bcf,DB Nets,E Nets,08-03-24,E Nets,DB Nets
5a991863-0ea3-405e-b15f-aa787ac51776,Rangers,Pride Landers,07-20-24,Rangers,Pride Landers
3c69c35c-fd1e-44a4-9328-cba687a963dd,Kibra,Rangers,06-22-24,Rangers,Kibra
d5c31a81-7d89-487d-bc15-40d502a1b0bf,Junubin,DeeMentor,06-02-24,Junubin,DeeMentor
b0772e52-7b0a-49fb-932d-d56401d480f5,E Nets,MooreWright,07-04-24,E Nets,MooreWright
50296a3d-afab-4393-af95-2fff66184256,E Nets,Rangers,06-02-24,E Nets,Rangers
c2f605f7-dd28-42e3-860c-24f66f63dde6,Rangers,savio,05-25-24,Rangers,savio
3f51e606-55ec-4867-b8ed-48dcbec0ad5e,Phenoms,Clique Mambas,06-02-24,Phenoms,Clique Mambas
fd033afc-ba99-4d38-b612-c5bc01ae6902,Advance,DeeMentor,05-25-24,DeeMentor,Advance
77d0b684-470d-4c69-91c8-53f576400273,Leos,Pride Landers,05-25-24,Pride Landers,Leos
ec03d162-48ad-4724-a8f7-fa0904304092,Junubin,Jericho Nets,05-25-24,Junubin,Jericho Nets
108ea8a5-31f9-4ea4-ba9f-df0e622b94f5,Rangers,Vikapu,06-08-24,Vikapu,Rangers
f42e883d-c2f3-4b3c-88f0-38158e137986,Kibra,Twende,05-25-24,Twende,Kibra
71eff8d4-9e1f-44be-a8be-aebb2a5c51c9,Pride Landers,Rangers,06-09-24,Rangers,Pride Landers
446fcd55-3b76-4f3e-a1a6-b2677c3d5c64,Fam Kenya,Clique Mambas,06-15-24,Fam Kenya,Clique Mambas
df22ee6c-cc1f-421b-a2ec-f4a3d3956d57,Fam Kenya,Phenoms,08-18-24,Phenoms,Fam Kenya
9a7f26b8-7e53-41ff-9c20-0b85e46624eb,Vikapu,DB Nets,08-21-24,Vikapu,DB Nets
81a046bf-0dd7-4abc-9c7e-d31357738b5d,savio,Vikapu,07-14-24,Vikapu,savio
c35b5228-ed84-431c-996f-929611db9289,Feba Nation,Phenoms,07-13-24,Phenoms,Feba Nation
185bd9f0-5c8c-4b62-9c11-a571e3341790,Clique Mambas,Teffad,06-29-24,Teffad,Clique Mambas
a437534d-292d-4cbf-a013-00b5d4537953,Jericho Nets,Huruma Dragons,08-18-24,Huruma Dragons,Jericho Nets
a71418c6-b68c-4b1d-992f-71e111329bc5,Vikapu,Leos,07-04-24,Vikapu,Leos
1f899047-8416-4e36-b5aa-11748a46bc89,Rangers,Twende,08-03-24,Twende,Rangers
b273dad0-93c8-4dd1-be08-89bf4341a1b8,Junubin,Jericho Nets,06-29-24,Jericho Nets,Junubin
6e56a1cd-0aea-453a-bd3e-0f63a99d1da5,Leos,Bantu,06-30-24,Bantu,Leos
3500f50f-fef2-415c-8fb7-fd91e86419fc,savio,E Nets,06-30-24,E Nets,savio
a153f181-4536-4535-95f4-98afa859c86d,Saints,Jericho Nets,08-04-24,Saints,Jericho Nets
6c439ffe-c677-454e-bea0-ed085fd84e0e,Buruburu,Fam Kenya,07-13-24,Fam Kenya,Buruburu
e3921a47-526c-42c0-b7b4-fcf61860c287,Pride Landers,E Nets,07-14-24,E Nets,Pride Landers
49f47931-499f-45f2-bdcc-ff0f82513e77,Teffad,Junubin,07-13-24,Teffad,Junubin
13caf5aa-a79a-48b5-9bc9-1ef12c35be05,Teffad,Saints,07-20-24,Saints,Teffad
8bc2c23f-c075-414d-9ee0-7e3532a71d02,E Nets,Kibra,07-20-24,E Nets,Kibra
96d12401-75d8-4b5f-b6c0-632907598ba8,DeeMentor,Huruma Dragons,07-21-24,Huruma Dragons,DeeMentor
f0b4521b-924f-4f8f-8548-7695fd8f8cc0,Teffad,Phenoms,07-21-24,Phenoms,Teffad
a5e8fd73-4b97-4e48-aff4-4514ab91afba,Saints,Fam Kenya,07-21-24,Saints,Fam Kenya
f54421e9-fa59-4713-a8b7-c4a7216d0172,Clique Mambas,Huruma Dragons,08-04-24,Clique Mambas,Huruma Dragons
dae86f56-2986-45d6-bfec-3661b5b25497,Kibra,Rangers,08-21-24,Rangers,Kibra
5b064421-292f-409e-babd-df7e9ff967fc,Feba Nation,Junubin,07-28-24,Feba Nation,Junubin
a5b26c87-7b42-401f-8b6f-0f755b9a387f,Fam Kenya,Junubin,08-04-24,Fam Kenya,Junubin
677cb5e7-eda3-4d11-aa77-8f99b1379d7b,Phenoms,Jericho Nets,07-27-24,Phenoms,Jericho Nets
d396a5c2-6389-4b6f-bbc3-47105dcad164,Leos,Kibra,07-28-24,Kibra,Leos
97e358b8-754f-42a7-8d54-242eb38731fb,Huruma Dragons,Junubin,07-27-24,Huruma Dragons,Junubin
f2f20e49-1f88-43c3-be2c-d387baa55a4a,Kwetu,Leos,08-03-24,Kwetu,Leos
ddbaa6de-ab64-4349-a5d5-f9327217f717,Leos,Pride Landers,07-27-24,Pride Landers,Leos
ad9274de-4fbf-411a-9060-4b61e1539b8c,Kwetu,Rangers,07-28-24,Rangers,Kwetu
c7839093-30f9-4b44-b52e-224b971ac8d4,DeeMentor,Clique Mambas,07-27-24,DeeMentor,Clique Mambas
059b0aa6-4f69-4fe6-8af2-a1e300ceaa0c,Twende,E Nets,07-28-24,Twende,E Nets
195c2861-80ef-4d7d-b8a8-3e08d8212fb3,MooreWright,savio,07-28-24,savio,MooreWright
f60b7b2f-455a-4e62-a3ca-fd4f3b1f166e,Pride Landers,Vikapu,07-28-24,Vikapu,Pride Landers
6f9c5790-2ce2-4069-8d34-f1576bef53fa,Buruburu,Phenoms,08-04-24,Phenoms,Buruburu
51451c96-57ad-4bd8-a6c1-4bfcd9339c78,MooreWright,Leos,09-08-24,Leos,MooreWright
6da04190-cc8d-4af2-9527-f83474afb493,Teffad,Advance,08-04-24,Teffad,Advance
cf55f22e-2869-484f-ab76-a24b29d959fb,Rangers,savio,09-08-24,Rangers,savio
e8b661f0-2acf-4aef-b089-34c0b77027de,DeeMentor,Feba Nation,08-04-24,Feba Nation,DeeMentor
868caf97-b81f-4b57-8a54-7dfb8de09df1,Buruburu,Advance,08-18-24,Buruburu,Advance
5fa07b02-c300-4977-8577-77d727b0c2df,Phenoms,Advance,09-08-24,Phenoms,Advance
9469d0d4-134b-4f60-850e-5b211846a2db,Twende,Kibra,09-08-24,Twende,Kibra
e0e2fa66-a3ac-4057-8767-05c85acc82b1,Clique Mambas,Buruburu,09-14-24,Clique Mambas,Buruburu
aeb81132-90d7-4ed2-b477-824efa6ea4a8,Jericho Nets,Teffad,09-07-24,Teffad,Jericho Nets
fb44c23d-64b4-4cbc-b166-5c0a56b6046c,Advance,Saints,08-10-24,Saints,Advance
6a60891e-9cd9-47be-bebd-99aeabaaefb6,Jericho Nets,Fam Kenya,08-10-24,Fam Kenya,Jericho Nets
cc1b6a95-0f9d-4ee0-9edd-5c4bb7a5f9a8,Huruma Dragons,Buruburu,08-10-24,Huruma Dragons,Buruburu
d1072de0-ca5a-4e68-942e-326503db77c1,Junubin,Clique Mambas,08-10-24,Clique Mambas,Junubin
1a72c5a3-25e5-407d-a732-ddf85b619f21,Feba Nation,Teffad,08-10-24,Teffad,Feba Nation
cbfc5db2-3f5f-4a36-b4ba-440bb94226e3,Phenoms,DeeMentor,08-10-24,Phenoms,DeeMentor
0f4f8b30-62a4-4c08-babe-1cf3927b51e0,Twende,savio,09-22-24,Twende,savio
575781e1-7b77-4caf-ab53-7dda45e3ad2d,Huruma Dragons,Teffad,09-08-24,Teffad,Huruma Dragons
068bc7f2-eade-4c9e-9ff8-6f65e99fe083,Fam Kenya,Clique Mambas,09-22-24,Clique Mambas,Fam Kenya
cdac9b93-a49a-4582-a070-0f2613a7876e,Saints,Feba Nation,09-08-24,Saints,Feba Nation
df2dca2d-d4e7-4cae-b5ec-e5e069936c0a,Buruburu,Twende,10-12-24,Twende,Buruburu
08dd5c3c-b427-4d5a-905c-bd4e89dca5f3,Clique Mambas,Phenoms,10-12-24,Phenoms,Clique Mambas
83aa5852-f787-427d-93b7-2cf9660281ed,Twende,DeeMentor,09-27-24,Twende,DeeMentor
dbd7189b-ad65-481b-a151-d367b5ff44d3,Twende,Kwetu,09-15-24,Twende,Kwetu
267f000d-535b-473c-8d8c-2f8a9949d9e4,Rangers,Leos,09-07-24,Rangers,Leos
20ee00d5-5114-4a82-8c91-c7b193ef54db,Vikapu,MooreWright,09-07-24,Vikapu,MooreWright
321c1237-17c0-45bb-8807-f39b5f83a34d,E Nets,Bantu,09-08-24,E Nets,Bantu
5f25cd89-4ec1-4989-8b75-eb1de6761d21,Twende,Bantu,09-07-24,Twende,Bantu
9eeae1ff-b277-40e8-bc4d-a0d2cea1e0e3,Bantu,Phenoms,09-29-24,Phenoms,Bantu
dc0bf732-b4db-4c3c-9bd2-696f9142313b,Clique Mambas,Saints,09-21-24,Clique Mambas,Saints
41914d74-dfae-4d8b-b189-0a336cdc4563,Buruburu,Rangers,09-29-24,Buruburu,Rangers
951f160c-1117-4d1a-a7bd-3738ced961a9,Jericho Nets,Buruburu,09-08-24,Buruburu,Jericho Nets
61fad276-f313-4e06-85a5-f190f9737a73,Junubin,DeeMentor,09-08-24,Junubin,DeeMentor
8d84a4db-c06a-41d4-90d9-790f3884e287,Saints,Junubin,08-18-24,Saints,Junubin
f54e974e-d9e1-4c3b-aba2-9b2ff6a0c19b,Phenoms,Bantu,10-04-24,Phenoms,Bantu
