team,total_free_throw_attempts,total_free_throw_made,total_two_point_attempts,total_two_point_made,total_three_point_made,total_three_point_attempts,total_assists,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points,game_id,timestamp
rangers,9.0,13.0,23.0,22.0,6.0,5.0,10.0,7.0,13.0,12.0,75.0,dae86f56-2986-45d6-bfec-3661b5b25497,2024-08-21T10:28:20.129Z
feba nation,9.0,6.0,27.0,22.0,1.0,14.0,11.0,9.0,20.0,12.0,53.0,5b064421-292f-409e-babd-df7e9ff967fc,2024-07-28T06:25:04.270Z
junubin,13.0,8.0,32.0,19.0,1.0,10.0,5.0,12.0,15.0,14.0,49.0,5b064421-292f-409e-babd-df7e9ff967fc,2024-07-28T06:25:04.270Z
fam kenya,11.0,5.0,27.0,16.0,7.0,16.0,4.0,19.0,19.0,9.0,58.0,a5b26c87-7b42-401f-8b6f-0f755b9a387f,2024-08-04T13:03:18.737Z
junubin,14.0,7.0,33.0,17.0,0.0,11.0,3.0,14.0,10.0,12.0,41.0,a5b26c87-7b42-401f-8b6f-0f755b9a387f,2024-08-04T13:03:18.737Z
jericho nets,1.0,2.0,23.0,27.0,3.0,16.0,8.0,10.0,19.0,19.0,65.0,677cb5e7-eda3-4d11-aa77-8f99b1379d7b,2024-07-27T06:47:48.567Z
phenoms,8.0,8.0,23.0,51.0,6.0,24.0,18.0,16.0,24.0,17.0,128.0,677cb5e7-eda3-4d11-aa77-8f99b1379d7b,2024-07-27T06:47:48.567Z
kibra,12.0,6.0,26.0,23.0,9.0,20.0,11.0,11.0,17.0,9.0,79.0,d396a5c2-6389-4b6f-bbc3-47105dcad164,2024-07-28T06:25:48.907Z
leos,4.0,6.0,36.0,15.0,3.0,8.0,3.0,7.0,13.0,10.0,45.0,d396a5c2-6389-4b6f-bbc3-47105dcad164,2024-07-28T06:25:48.907Z
huruma dragons,11.0,10.0,22.0,14.0,5.0,18.0,9.0,7.0,18.0,8.0,53.0,97e358b8-754f-42a7-8d54-242eb38731fb,2024-07-27T06:48:48.694Z
junubin,15.0,9.0,35.0,16.0,3.0,20.0,6.0,18.0,16.0,11.0,50.0,97e358b8-754f-42a7-8d54-242eb38731fb,2024-07-27T06:48:48.694Z
kwetu,8.0,4.0,21.0,19.0,5.0,14.0,11.0,11.0,30.0,11.0,57.0,f2f20e49-1f88-43c3-be2c-d387baa55a4a,2024-08-03T10:38:26.903Z
